,Keyword,Time,count
574,VitorKley,2018-10-2 1:00,2
575,KaushalArmy,2018-10-1 14:00,1
576,레드벨벳,2018-10-1 19:00,1
577,iKONGoodbyeRoad,2018-10-1 10:00,2
578,Monday,2018-10-1 20:00,1
579,いいねダンス,2018-10-1 14:00,1
580,LibertarianParty,2018-10-1 14:00,1
581,ArmySelcaDay,2018-10-1 12:00,1
582,OfficialDeelocz,2018-10-1 18:00,1
583,market,2018-10-1 23:00,1
584,online,2018-10-1 18:00,1
585,3rdTvMusicAwards18,2018-10-1 16:00,1
586,Inktober,2018-10-1 12:00,2
587,갓세븐,2018-10-1 11:00,3
588,태형,2018-10-1 17:00,2
589,InvasionOfPrivacy,2018-10-1 23:00,2
590,OurPack,2018-10-1 20:00,1
591,GOT7,2018-10-1 6:00,1
592,ArianaGrande,2018-10-1 12:00,3
593,Ghana,2018-10-2 4:00,1
594,Dodgers,2018-10-2 5:00,1
595,AnittaGata,2018-10-1 15:00,2
596,escaperoom,2018-10-1 20:00,1
597,Yoga,2018-10-1 16:00,1
598,FreeIran2018,2018-10-2 0:00,1
599,SarkarAudioFromTomorrow,2018-10-1 12:00,1
600,BirthDayWishesForDaddyMo,2018-10-1 15:00,1
601,Party,2018-10-1 13:00,1
602,EyesOnIdlib,2018-10-1 13:00,1
603,GOT7,2018-10-1 7:00,2
604,GE9X,2018-10-1 17:00,1
605,Glendale,2018-10-1 18:00,1
606,Missiles,2018-10-1 15:00,1
607,LiveUnderPar,2018-10-2 1:00,1
608,Florida,2018-10-1 8:00,1
609,Thevillain,2018-10-1 14:00,1
610,GODOverMoney,2018-10-1 23:00,1
611,KallysMashup,2018-10-1 20:00,2
612,뱀뱀,2018-10-1 15:00,1
613,Giveaway,2018-10-2 0:00,1
614,NAFTA,2018-10-1 6:00,1
615,Interpreter,2018-10-1 19:00,1
616,NewKidsTheFinal,2018-10-2 2:00,1
617,SFGiants,2018-10-2 1:00,1
618,EllieAndJared,2018-10-1 6:00,1
619,jungkook,2018-10-1 7:00,1
620,PCAs,2018-10-2 1:00,2
621,Married2Med,2018-10-1 23:00,1
622,giveaway,2018-10-1 7:00,1
623,Anitters,2018-10-1 19:00,3
624,family,2018-10-1 20:00,1
625,SCOTUSpick,2018-10-1 21:00,1
626,jeremywright,2018-10-1 17:00,1
627,ZeroHunger,2018-10-1 10:00,1
628,KCON2018THAILAND,2018-10-1 10:00,1
629,frackedgas,2018-10-1 14:00,1
630,EXO,2018-10-2 1:00,2
631,scaringthecrapoutofpeople,2018-10-1 12:00,1
632,GotItAtLifestyle,2018-10-1 12:00,1
633,PetrolDieselPriceHike,2018-10-1 6:00,1
634,lazyafternoon,2018-10-1 18:00,1
635,TRX,2018-10-2 3:00,1
636,Worlds2018,2018-10-1 7:00,1
637,H50,2018-10-1 10:00,1
638,InsecueHBO,2018-10-1 22:00,1
639,정한,2018-10-1 13:00,1
